,num_passengers,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,sales_channel_Mobile,trip_type_OneWay,trip_type_RoundTrip
29,1,19,47,2,2,3,61,1,0,1,6.62,0,0,0,1
30,1,16,35,23,3,3,61,1,1,0,6.62,0,0,0,1
31,2,7,82,4,4,3,85,1,0,1,6.62,0,0,0,1
32,1,5,27,0,5,3,61,0,0,1,6.62,0,0,0,1
33,1,185,34,4,1,3,61,1,0,1,6.62,0,0,0,1
34,1,21,22,7,5,3,61,1,1,0,6.62,0,0,0,1
35,1,7,27,4,3,3,61,0,0,1,6.62,0,0,0,1
36,1,33,22,14,6,3,85,1,0,0,6.62,0,0,0,1
37,6,20,22,3,5,3,85,1,1,1,6.62,0,0,0,1
38,2,56,21,7,4,3,61,1,0,0,6.62,0,0,0,1
39,1,3,33,1,1,3,85,1,0,1,6.62,0,0,0,1
40,1,13,26,7,1,3,85,1,0,0,6.62,0,0,0,1
41,1,71,90,7,4,3,85,1,1,1,6.62,0,0,0,1
42,2,346,23,8,1,3,85,1,0,1,6.62,0,0,0,1
43,1,9,84,7,3,3,61,1,0,0,6.62,0,0,0,1
44,1,65,22,14,4,3,85,1,0,0,6.62,0,0,0,1
45,1,221,61,2,7,3,61,0,0,0,6.62,0,1,0,1
46,1,65,18,14,3,3,85,0,0,1,6.62,0,0,0,1
47,2,7,40,7,3,3,85,1,0,1,6.62,0,0,0,1
48,1,107,24,14,5,3,85,0,1,0,6.62,0,0,0,1
49,1,14,27,10,3,3,61,0,0,0,6.62,0,0,0,1
50,1,77,96,9,2,3,61,1,0,1,6.62,0,0,0,1
51,1,65,17,9,3,3,61,1,0,0,6.62,0,0,0,1
52,1,24,25,8,4,3,85,1,0,1,6.62,0,0,0,1
53,1,47,69,2,3,3,85,1,1,1,6.62,0,0,0,1
54,1,22,89,14,2,3,85,1,0,1,6.62,0,0,0,1
55,2,11,25,4,4,3,85,1,0,1,6.62,0,0,0,1
56,1,35,25,6,2,3,85,0,0,1,6.62,0,0,0,1
57,1,272,21,14,2,3,61,1,0,0,6.62,0,0,0,1
58,1,20,18,10,1,3,61,0,0,0,6.62,0,0,0,1
59,1,250,23,9,7,3,85,1,0,1,6.62,0,0,0,1
60,1,161,58,2,6,3,85,1,0,1,6.62,0,0,0,1
61,4,128,21,9,1,3,61,1,1,0,6.62,0,0,0,1
62,1,190,27,14,7,3,85,1,0,1,6.62,0,0,0,1
63,4,311,27,6,6,3,61,0,1,0,6.62,0,0,0,1
64,1,27,56,7,5,3,85,1,0,1,6.62,0,0,0,1
65,2,314,43,10,7,3,61,0,0,0,6.62,0,0,0,1
66,1,25,29,11,3,3,85,1,0,1,6.62,0,0,0,1
67,1,102,110,6,2,3,85,1,0,0,6.62,0,0,0,1
68,1,24,19,8,1,3,85,1,0,1,6.62,0,0,0,1
69,1,2,165,3,1,4,43,1,0,0,7.0,0,0,0,1
70,1,26,111,13,1,4,43,1,0,1,7.0,0,0,0,1
71,1,32,34,23,7,4,61,0,0,0,7.0,0,0,0,1
72,2,57,38,5,7,4,61,1,0,0,7.0,0,0,0,1
73,1,198,207,10,7,4,43,1,0,1,7.0,0,0,0,1
74,1,23,27,11,6,4,43,0,0,0,7.0,0,0,0,1
75,1,33,20,6,5,5,61,1,0,0,4.75,0,0,0,1
76,2,120,91,3,1,5,61,1,0,1,4.75,0,0,0,1
77,2,69,34,4,4,5,61,1,0,0,4.75,0,0,0,1
78,1,281,18,3,3,5,61,1,0,0,4.75,0,1,0,0
79,1,282,18,19,2,5,61,1,0,0,4.75,0,0,0,0
80,1,69,21,3,3,5,61,1,0,0,4.75,0,0,0,1
81,1,67,1,10,2,5,61,1,0,0,4.75,0,0,1,0
82,1,15,31,17,1,6,51,0,0,0,8.83,1,0,0,1
83,1,31,274,10,2,6,51,1,0,0,8.83,0,0,0,1
84,1,316,35,16,2,6,51,1,0,0,8.83,0,0,0,1
85,2,232,17,3,2,6,51,1,1,1,8.83,0,0,0,1
86,1,156,19,14,1,6,51,1,0,0,8.83,1,0,0,1
87,1,196,44,23,2,6,61,1,0,0,8.83,0,0,0,1
88,1,283,38,9,1,6,61,1,0,0,8.83,0,0,0,1
89,1,34,24,5,5,6,61,1,0,0,8.83,0,0,0,1
90,1,63,57,8,1,6,61,0,0,0,8.83,0,1,0,1
91,1,5,18,4,2,6,61,0,0,0,8.83,0,0,0,1
92,1,6,106,19,2,6,51,0,0,0,8.83,0,0,0,1
93,1,227,68,2,5,6,51,1,1,0,8.83,0,0,0,1
94,1,181,87,2,2,6,80,1,0,1,8.83,1,0,0,1
95,1,8,33,3,2,6,61,0,0,0,8.83,0,0,0,1
96,2,138,35,19,5,6,90,1,0,1,8.83,0,0,0,1
97,1,134,37,20,3,6,61,0,1,0,8.83,0,0,0,1
98,2,8,29,18,4,6,61,1,0,0,8.83,0,0,0,1
99,1,23,51,13,5,6,61,1,0,1,8.83,0,0,0,1
100,1,57,21,1,7,6,51,1,1,1,8.83,0,1,0,1
101,2,85,19,0,1,6,61,1,1,0,8.83,0,0,0,1
102,1,65,31,23,7,6,61,0,0,0,8.83,0,0,0,1
103,1,27,1,13,2,6,61,1,1,0,8.83,0,0,1,0
104,1,93,196,8,2,6,28,1,0,0,8.83,0,0,0,1
105,1,16,77,8,1,6,61,0,0,1,8.83,0,1,0,1
106,2,118,17,8,2,6,61,1,0,1,8.83,0,0,0,1
107,2,90,20,7,4,6,51,0,0,1,8.83,0,0,0,1
108,1,168,41,23,1,6,61,1,0,1,8.83,0,0,0,1
109,1,127,17,16,2,6,51,1,0,1,8.83,1,1,0,1
110,2,18,17,6,1,6,61,1,1,1,8.83,0,1,0,1
111,1,153,30,10,2,6,61,1,1,0,8.83,0,0,0,1
112,1,51,21,9,6,6,51,1,0,1,8.83,0,0,0,1
113,2,186,27,2,2,6,61,1,1,1,8.83,0,0,0,1
114,1,5,87,5,2,6,51,1,0,0,8.83,0,0,0,1
115,1,65,278,2,4,6,51,0,0,0,8.83,0,0,0,1
116,1,2,18,6,4,6,61,1,1,0,8.83,0,0,0,1
117,1,263,58,4,7,6,51,0,1,0,8.83,0,0,0,1
118,6,172,28,0,6,6,61,0,0,1,8.83,0,0,0,1
119,1,161,108,2,4,6,61,1,1,0,8.83,0,0,0,1
120,4,230,29,17,1,6,51,1,0,1,8.83,0,0,0,1
121,1,7,21,0,1,6,37,0,0,0,8.83,0,0,0,1
122,1,42,17,14,2,6,51,0,0,0,8.83,1,0,0,1
123,1,71,29,10,5,6,61,1,0,0,8.83,0,0,0,1
124,1,22,180,13,4,6,51,1,0,0,8.83,1,0,0,1
125,1,81,21,4,5,6,61,1,0,0,8.83,0,0,0,1
126,2,140,18,7,7,6,17,1,0,0,8.83,0,0,0,1
127,1,42,72,14,6,6,61,0,0,1,8.83,0,1,0,1
128,1,168,32,2,2,6,61,1,1,0,8.83,0,0,0,1
129,1,285,30,12,3,6,21,1,1,1,8.83,0,0,0,1
130,2,179,18,11,4,6,51,1,0,1,8.83,0,0,0,1
131,2,341,21,10,6,6,61,1,0,0,8.83,0,0,0,1
132,2,96,51,3,4,6,61,1,0,1,8.83,0,0,0,1
133,4,173,17,1,4,6,61,1,0,1,8.83,0,0,0,1
134,1,180,24,9,3,6,61,0,1,1,8.83,0,0,0,1
135,4,366,17,16,7,6,51,1,0,1,8.83,0,0,0,1
136,3,229,17,13,1,6,51,1,1,1,8.83,1,0,0,1
137,2,174,61,11,2,6,51,1,0,1,8.83,0,0,0,1
138,2,82,25,18,5,6,21,1,0,0,8.83,0,0,0,1
139,1,75,62,6,1,6,51,0,0,0,8.83,0,0,0,1
140,2,163,21,10,1,6,61,1,0,0,8.83,0,0,0,1
141,1,105,21,8,5,6,61,1,0,0,8.83,0,0,0,1
142,2,276,45,6,1,6,61,1,0,1,8.83,0,0,0,1
143,1,35,31,3,4,6,61,1,0,0,8.83,0,0,0,1
144,1,110,26,23,3,6,61,1,0,0,8.83,0,0,0,1
145,1,83,44,3,6,6,51,1,0,0,8.83,0,0,0,1
146,1,154,25,22,1,6,51,1,0,0,8.83,0,1,0,1
147,1,118,19,1,2,6,61,1,0,1,8.83,0,0,0,1
148,1,55,20,22,3,6,61,0,0,0,8.83,0,0,0,1
149,1,45,35,1,6,6,61,0,0,0,8.83,0,1,0,1
150,1,54,23,4,7,6,61,0,0,1,8.83,0,0,0,1
151,1,193,19,13,2,6,51,0,0,0,8.83,0,0,0,1
152,1,10,91,23,2,6,80,1,0,0,8.83,1,0,0,1
153,1,166,18,20,3,6,61,1,0,1,8.83,0,0,0,1
154,1,97,25,9,7,6,51,1,0,0,8.83,0,0,0,1
155,5,239,17,12,4,6,51,1,0,1,8.83,0,0,0,1
156,2,97,50,8,6,6,61,1,1,1,8.83,0,0,0,1
157,1,182,28,10,7,6,103,0,0,1,8.83,0,0,0,1
158,1,99,21,13,7,6,80,0,0,0,8.83,1,0,0,1
159,1,23,59,9,2,6,61,1,0,1,8.83,0,0,0,1
160,1,53,18,9,1,6,51,1,1,0,8.83,0,1,0,1
161,1,28,125,12,6,6,51,0,0,0,8.83,0,0,0,1
162,1,384,18,5,4,6,51,0,0,0,8.83,0,0,0,1
163,2,22,27,23,5,6,61,1,0,1,8.83,0,0,0,1
164,1,70,106,3,4,6,51,1,0,1,8.83,0,0,0,1
165,1,126,28,20,7,6,28,1,0,0,8.83,0,0,0,1
166,1,8,45,8,2,6,51,0,0,0,8.83,0,0,0,1
167,2,51,29,11,7,6,61,1,0,1,8.83,0,0,0,1
168,1,142,124,9,3,6,51,1,0,0,8.83,1,0,0,1
169,1,87,33,9,6,6,93,1,0,0,8.83,0,0,0,1
170,5,238,21,8,5,6,61,1,1,1,8.83,0,1,0,1
171,2,86,34,0,6,6,61,1,0,0,8.83,0,0,0,1
172,1,313,35,20,6,6,61,1,0,0,8.83,0,1,0,1
173,2,41,20,20,7,6,86,1,1,1,8.83,0,0,0,1
174,1,91,46,8,3,6,61,1,1,1,8.83,0,0,0,1
175,1,41,21,12,2,6,51,1,0,0,8.83,0,1,0,1
176,1,82,33,10,2,6,61,1,0,0,8.83,0,0,0,1
177,5,206,17,13,7,6,51,1,0,0,8.83,0,0,0,1
178,4,6,55,5,4,6,61,1,1,0,8.83,0,0,0,1
179,5,197,18,10,5,6,51,1,0,1,8.83,0,0,0,1
180,1,34,22,13,2,6,51,1,0,1,8.83,1,0,0,1
181,2,112,21,17,2,6,51,1,0,0,8.83,0,0,0,1
182,2,268,47,1,1,6,61,1,0,1,8.83,0,0,0,1
183,1,157,26,15,1,6,75,1,0,1,8.83,0,0,0,1
184,2,145,51,4,3,6,51,1,1,1,8.83,0,0,0,1
185,4,241,24,9,1,6,61,0,0,0,8.83,0,0,0,1
186,1,172,17,9,5,6,40,0,0,1,8.83,0,0,0,1
187,1,99,19,7,3,6,51,0,0,0,8.83,0,0,0,1
188,1,139,22,8,7,6,61,1,0,1,8.83,0,1,0,1
189,1,59,35,13,7,6,51,0,1,0,8.83,1,0,0,1
190,1,396,23,9,1,6,61,1,0,1,8.83,0,0,0,1
191,2,280,18,23,2,6,51,1,0,1,8.83,0,0,0,1
192,1,79,23,10,2,6,51,0,0,0,8.83,0,0,0,1
193,1,37,26,21,3,6,61,1,0,0,8.83,0,0,0,1
194,2,69,19,17,6,6,42,1,0,0,8.83,0,0,0,1
195,1,380,21,21,4,6,61,1,1,0,8.83,0,0,0,1
196,5,206,17,13,7,6,51,1,0,0,8.83,0,0,0,1
197,1,13,27,1,3,6,61,1,0,1,8.83,0,0,0,1
198,1,229,31,2,5,6,61,0,0,1,8.83,0,0,0,1
199,1,132,20,9,1,6,81,1,0,0,8.83,0,0,0,1
200,4,121,18,6,7,6,51,1,1,1,8.83,0,0,0,1
201,4,316,22,14,4,6,51,1,0,0,8.83,1,0,0,1
202,5,67,35,2,2,6,51,1,1,1,8.83,1,0,0,1
203,1,419,21,16,7,6,51,1,0,0,8.83,0,0,0,1
204,2,18,46,2,1,6,51,0,0,0,8.83,0,0,0,1
205,1,58,21,12,3,6,99,1,0,1,8.83,0,0,0,1
206,2,115,87,6,3,6,95,0,0,0,8.83,0,0,0,1
207,1,236,91,6,5,6,51,1,0,1,8.83,0,0,0,1
208,1,225,25,6,2,6,28,1,1,0,8.83,1,0,0,1
209,1,116,56,15,4,6,51,1,0,0,8.83,0,0,0,1
210,1,34,90,7,6,6,51,1,1,0,8.83,0,0,0,1
211,1,191,60,11,7,6,28,1,0,1,8.83,0,0,0,1
212,1,55,22,7,6,6,61,1,0,0,8.83,0,0,0,1
213,1,53,180,2,6,6,61,1,0,0,8.83,0,1,0,1
214,1,13,17,3,7,6,61,0,0,0,8.83,0,0,0,1
215,1,275,36,4,3,6,61,1,1,0,8.83,0,0,0,1
216,1,58,17,7,7,6,61,1,0,1,8.83,0,0,0,1
217,2,45,25,1,1,6,61,0,0,0,8.83,0,0,0,1
218,2,417,22,4,7,6,61,1,0,1,8.83,0,0,0,1
219,2,159,21,8,5,6,61,1,0,0,8.83,0,0,0,1
220,2,173,40,8,7,6,61,0,0,0,8.83,0,0,0,1
221,2,92,65,13,1,6,77,1,0,0,8.83,0,0,0,1
222,1,106,208,4,4,6,43,1,0,0,8.83,0,0,0,1
223,3,316,35,16,2,6,51,0,0,0,8.83,0,0,0,1
224,2,245,27,11,1,6,61,0,0,0,8.83,1,0,0,1
225,3,218,21,8,2,6,61,0,0,0,8.83,0,0,0,1
226,1,96,106,1,7,6,61,1,1,1,8.83,0,0,0,1
227,1,67,22,11,1,6,51,0,0,0,8.83,0,0,0,1
228,1,145,204,16,5,6,51,1,1,1,8.83,0,0,0,1
229,1,295,18,6,1,6,51,0,0,0,8.83,0,0,0,1
230,1,57,51,3,3,6,61,1,0,1,8.83,0,0,0,1
231,1,12,20,8,2,6,61,1,0,0,8.83,0,1,0,1
232,3,77,31,0,4,6,61,1,0,0,8.83,0,0,0,1
233,2,7,83,16,2,6,51,1,0,1,8.83,0,0,0,1
234,1,305,18,3,3,6,61,0,0,0,8.83,0,1,0,1
235,2,235,18,22,2,6,51,1,0,1,8.83,1,0,0,1
236,1,332,17,11,6,6,61,0,0,0,8.83,0,0,0,1
237,1,3,35,6,2,6,61,1,0,0,8.83,0,0,0,1
238,2,56,42,4,4,6,51,1,0,1,8.83,1,0,0,1
239,2,125,85,15,4,6,51,1,0,0,8.83,0,0,0,1
240,1,86,21,2,6,6,51,1,0,0,8.83,0,0,0,1
241,2,204,24,6,1,6,61,1,1,0,8.83,0,0,0,1
242,1,310,44,13,2,6,61,1,0,1,8.83,0,0,0,1
243,1,115,20,7,1,6,61,1,0,0,8.83,0,0,0,1
244,1,57,24,12,4,6,61,1,0,0,8.83,0,0,0,1
245,4,368,36,16,7,6,51,0,0,0,8.83,0,0,0,1
246,1,59,37,15,7,6,51,0,0,0,8.83,0,0,0,1
247,1,6,21,21,7,6,61,0,0,0,8.83,0,0,0,1
248,3,67,22,7,3,6,103,1,1,0,8.83,0,0,0,1
249,1,169,22,9,6,6,61,1,0,0,8.83,0,0,0,1
250,1,214,38,12,4,6,51,0,0,0,8.83,0,0,0,1
251,1,5,19,14,4,6,51,1,0,0,8.83,0,0,0,1
252,2,14,17,10,6,6,0,1,0,0,8.83,1,0,0,1
253,2,173,64,14,4,6,51,0,0,0,8.83,0,0,0,1
254,1,7,22,7,1,6,61,1,0,0,8.83,0,0,0,1
255,1,196,86,3,7,6,61,1,0,0,8.83,0,0,0,1
256,2,155,24,7,7,6,61,1,0,0,8.83,0,0,0,1
257,1,245,19,9,6,6,61,0,0,0,8.83,0,0,0,1
258,1,22,82,10,5,6,51,1,1,1,8.83,1,1,0,1
259,1,325,22,4,3,6,51,1,0,0,8.83,0,0,0,1
260,1,6,1,23,7,6,61,1,0,0,8.83,0,0,1,0
261,2,130,18,10,1,6,61,0,0,0,8.83,0,0,0,1
262,1,218,17,2,5,6,51,1,0,1,8.83,1,0,0,1
263,1,189,35,8,7,6,51,1,0,0,8.83,0,0,0,1
264,1,35,41,15,4,6,51,1,1,1,8.83,0,0,0,1
265,1,189,60,8,2,6,61,0,1,1,8.83,0,0,0,1
266,4,226,17,6,7,6,51,1,0,0,8.83,0,0,0,1
267,1,122,30,13,4,6,36,1,0,0,8.83,0,0,0,1
268,2,88,30,8,3,6,51,1,0,1,8.83,0,0,0,1
269,4,211,21,10,5,6,51,1,0,0,8.83,1,0,0,1
270,1,259,82,9,7,6,51,1,0,1,8.83,1,0,0,1
271,5,188,17,12,4,6,51,1,0,1,8.83,1,0,0,1
272,1,129,25,9,1,6,61,1,0,1,8.83,0,0,0,1
273,2,190,69,21,4,6,61,1,0,0,8.83,0,0,0,1
274,1,172,54,8,2,6,51,1,1,1,8.83,0,0,0,1
275,1,149,17,4,1,6,61,1,0,1,8.83,0,0,0,1
276,1,15,28,7,7,6,78,0,0,0,8.83,1,0,0,1
277,4,38,17,4,7,6,51,0,0,0,8.83,0,0,0,1
278,1,8,238,5,5,6,61,1,1,0,8.83,0,1,0,1
279,1,214,23,8,7,6,61,1,1,0,8.83,0,0,0,1
280,1,14,275,3,3,6,80,1,0,1,8.83,1,0,0,1
281,2,9,84,13,5,6,51,1,1,1,8.83,0,0,0,1
282,1,70,20,14,6,6,51,0,0,0,8.83,0,0,0,1
283,3,35,17,3,7,6,51,1,0,1,8.83,0,0,0,1
284,4,53,42,23,6,6,61,1,0,1,8.83,0,0,0,1
285,1,77,28,15,3,6,51,1,1,0,8.83,0,0,0,1
286,2,259,39,21,4,6,61,1,0,1,8.83,0,0,0,1
287,1,106,27,7,7,6,51,0,0,0,8.83,0,0,0,1
288,1,194,86,3,7,6,61,1,0,1,8.83,0,0,0,1
289,1,134,26,15,3,6,51,1,0,0,8.83,0,0,0,1
290,1,3,36,16,7,6,51,0,0,1,8.83,1,0,0,1
291,1,149,17,2,4,6,61,1,0,1,8.83,0,0,0,1
292,2,9,44,8,5,6,51,1,0,1,8.83,1,0,0,1
293,1,37,95,17,2,6,59,1,0,1,8.83,0,0,0,1
294,2,183,34,11,5,6,61,1,0,1,8.83,0,0,0,1
295,1,40,31,5,5,6,61,1,1,1,8.83,0,0,0,1
296,1,95,83,6,3,6,61,0,0,0,8.83,1,0,0,1
297,1,135,24,4,5,6,61,0,0,0,8.83,0,0,0,1
298,1,15,90,13,5,6,28,1,0,1,8.83,0,1,0,1
299,1,222,23,9,6,6,51,0,0,1,8.83,1,0,0,1
300,2,64,29,12,1,6,51,1,0,0,8.83,1,0,0,1
301,1,162,19,8,2,6,61,1,0,0,8.83,0,0,0,1
302,1,22,27,9,7,6,61,0,0,1,8.83,0,0,0,1
303,2,150,31,8,7,6,61,1,0,1,8.83,0,0,0,1
304,1,73,27,12,5,6,61,0,0,0,8.83,0,0,0,1
305,3,133,19,9,6,6,61,0,0,0,8.83,0,0,0,1
306,1,24,1,0,3,6,61,1,0,0,8.83,0,0,1,0
307,1,66,20,14,7,6,51,0,1,1,8.83,0,0,0,1
308,3,89,22,6,6,6,51,1,0,0,8.83,0,0,0,1
309,2,105,91,12,6,6,51,1,1,1,8.83,0,0,0,1
310,1,115,95,9,4,6,61,1,0,0,8.83,0,0,0,1
311,1,151,39,7,7,6,61,1,0,1,8.83,0,0,0,1
312,3,349,18,20,1,6,61,1,1,0,8.83,0,0,0,1
313,1,13,18,9,5,6,51,1,0,1,8.83,1,0,0,1
314,2,29,20,1,5,6,61,0,0,0,8.83,0,0,0,1
315,1,69,28,14,4,6,51,1,1,1,8.83,0,1,0,1
316,5,206,17,13,7,6,51,1,0,0,8.83,0,0,0,1
317,1,6,21,3,5,6,51,1,0,0,8.83,0,0,0,1
318,2,23,31,4,1,6,37,1,0,0,8.83,0,1,0,1
319,1,197,19,3,1,6,61,0,0,0,8.83,1,0,0,1
320,2,368,65,2,7,6,51,1,0,1,8.83,1,0,0,1
321,1,25,19,6,5,6,51,1,1,0,8.83,0,0,0,1
322,1,189,33,11,5,6,74,1,1,1,8.83,1,0,0,1
323,1,123,70,22,2,6,51,0,0,0,8.83,0,1,0,1
324,2,298,22,7,2,6,51,1,0,0,8.83,0,0,0,1
325,1,89,24,9,7,6,61,1,0,0,8.83,0,0,0,1
326,1,241,125,11,3,6,61,1,0,1,8.83,0,0,0,1
327,2,195,27,2,3,6,61,1,1,1,8.83,0,1,0,1
328,1,84,18,9,3,6,51,0,0,0,8.83,0,1,0,1
329,1,410,25,13,6,6,28,1,1,0,8.83,1,0,0,1
330,3,95,24,8,2,6,61,1,1,1,8.83,1,0,0,1
331,1,122,54,5,4,6,34,0,0,1,8.83,0,0,0,1
332,2,216,26,9,7,6,61,0,0,0,8.83,0,0,0,1
333,1,89,20,23,3,6,61,1,0,0,8.83,0,0,0,1
334,1,111,42,7,1,6,43,1,0,0,8.83,1,0,0,1
335,1,11,39,7,6,6,51,1,0,0,8.83,0,0,0,1
336,3,174,17,3,3,6,61,1,0,0,8.83,0,0,0,1
337,2,162,18,4,4,6,51,0,0,0,8.83,1,1,0,1
338,2,139,1,8,5,6,61,1,0,0,8.83,0,0,1,0
339,1,19,93,3,1,6,61,1,1,1,8.83,0,0,0,1
340,1,110,18,15,4,6,61,0,0,0,8.83,0,0,0,1
341,2,9,54,7,4,6,51,1,0,1,8.83,1,0,0,1
342,1,47,28,15,7,6,51,1,0,0,8.83,0,1,0,1
343,6,349,21,5,7,6,51,1,0,0,8.83,0,1,0,1
344,2,109,21,17,7,6,51,1,1,1,8.83,1,0,0,1
345,1,0,23,5,2,6,51,0,0,0,8.83,0,0,0,1
346,4,38,21,0,1,6,51,1,0,1,8.83,0,0,0,1
347,1,58,28,8,3,6,61,0,0,1,8.83,0,0,0,1
348,4,192,20,6,7,6,51,1,0,1,8.83,1,0,0,1
349,4,210,21,4,7,6,51,1,0,0,8.83,0,1,0,1
350,2,326,22,12,7,6,51,0,0,0,8.83,1,0,0,1
351,2,13,17,10,2,6,51,1,1,1,8.83,0,0,0,1
352,2,240,64,14,3,6,51,0,1,0,8.83,0,0,0,1
353,1,39,21,7,1,6,61,0,0,0,8.83,0,0,0,1
354,1,23,35,8,7,6,37,0,0,0,8.83,0,0,0,1
355,5,198,34,14,1,6,34,1,1,1,8.83,0,0,1,0
356,1,75,30,10,2,6,93,1,0,0,8.83,0,0,0,1
357,1,54,20,8,1,6,61,1,0,1,8.83,0,0,0,1
358,1,32,41,1,7,6,61,0,0,0,8.83,0,0,0,1
359,2,101,34,17,4,6,90,1,0,0,8.83,0,0,0,1
360,2,294,49,16,2,6,43,1,0,0,8.83,0,0,0,1
361,1,304,59,0,3,6,61,1,0,1,8.83,0,0,0,1
362,3,32,23,15,3,6,51,1,0,0,8.83,1,0,0,1
363,2,160,24,22,3,6,61,1,0,0,8.83,0,1,0,1
364,3,363,18,2,1,6,51,1,1,1,8.83,0,0,0,1
365,1,214,31,9,7,6,51,1,0,0,8.83,0,0,0,1
366,1,162,18,11,2,6,51,1,0,0,8.83,1,0,0,1
367,5,97,21,10,3,6,51,1,1,0,8.83,1,0,0,1
368,2,71,30,6,1,6,61,1,1,0,8.83,1,0,0,1
369,2,231,17,15,2,6,51,1,1,1,8.83,0,0,0,1
370,2,163,35,12,5,6,51,1,0,1,8.83,1,0,0,1
371,1,62,21,3,4,6,51,1,1,0,8.83,0,0,0,1
372,1,1,18,5,2,6,61,1,0,0,8.83,0,0,0,1
373,1,314,19,8,3,6,61,0,1,0,8.83,0,0,0,1
374,2,178,69,9,5,6,51,1,0,0,8.83,0,0,0,1
375,1,253,107,10,3,6,61,0,0,0,8.83,0,0,0,1
376,2,81,43,6,4,6,61,1,0,1,8.83,0,0,0,1
377,1,30,85,15,5,6,51,1,0,0,8.83,1,0,0,1
378,1,120,20,12,5,6,61,1,0,1,8.83,0,0,0,1
379,1,25,19,3,3,6,51,1,0,1,8.83,0,0,0,1
380,1,62,30,7,4,6,51,1,0,1,8.83,0,0,0,1
381,1,58,17,6,3,6,61,1,1,0,8.83,0,0,0,1
382,4,268,18,13,2,6,71,1,0,1,8.83,0,0,0,1
383,2,199,27,8,5,6,61,1,0,0,8.83,0,0,0,1
384,5,206,17,13,7,6,51,1,0,0,8.83,0,0,0,1
385,2,159,29,21,7,6,61,1,1,1,8.83,0,0,0,1
386,1,171,35,8,3,6,61,1,0,1,8.83,0,0,0,1
387,1,6,18,6,2,6,51,1,0,1,8.83,1,0,0,1
388,1,269,29,9,7,6,61,1,0,0,8.83,0,0,0,1
389,1,13,22,17,6,6,100,1,0,1,8.83,0,0,0,1
390,1,301,121,15,7,6,51,0,1,0,8.83,0,0,0,1
391,1,301,34,0,6,6,61,1,0,0,8.83,0,0,0,1
392,1,72,26,13,3,6,51,1,0,1,8.83,0,0,0,1
393,2,224,18,16,2,6,51,1,0,1,8.83,0,0,0,1
394,3,269,17,1,5,6,51,1,1,1,8.83,0,0,0,1
395,2,246,24,4,6,6,51,0,0,0,8.83,0,0,0,1
396,1,44,19,7,7,6,51,1,0,0,8.83,0,1,0,1
397,1,32,60,2,3,6,51,1,0,0,8.83,0,1,0,1
398,2,198,20,5,1,6,51,1,0,0,8.83,0,0,0,1
399,2,94,22,15,5,6,51,1,0,1,8.83,0,0,0,1
400,1,265,59,10,2,6,61,1,0,0,8.83,0,0,0,1
401,2,229,20,7,4,6,61,1,0,1,8.83,0,0,0,1
402,2,282,18,16,6,6,51,1,1,0,8.83,0,0,0,1
403,1,32,48,12,1,6,87,0,0,0,8.83,0,0,0,1
